5,5,5,5,4,60,60,5,60,5
34,34,34,34,20,11,59,34,59,34
34,34,34,34,28,59,59,34,59,34
34,34,34,34,27,59,59,34,59,34
42,42,42,42,28,15,33,42,7,42
34,34,34,34,33,59,59,34,59,34
42,42,42,42,36,34,33,42,34,42
1,35,35,35,2,43,40,35,42,35
59,34,34,34,2,2,2,34,5,34
59,34,34,34,2,2,59,34,59,34
1,42,42,42,34,34,34,42,2,42
21,41,41,41,6,24,24,41,27,41
60,5,5,5,60,2,2,5,60,5
53,44,44,44,53,3,53,44,1,44
5,2,5,4,4,60,60,5,60,5
5,5,5,5,5,60,60,5,60,5
58,58,58,2,52,28,6,1,20,58
58,58,58,23,33,28,6,23,8,58
58,23,58,6,9,1,6,18,5,58
58,58,58,2,7,1,3,21,5,58
58,1,58,9,13,1,5,25,4,58
19,3,19,13,7,60,60,60,60,19
58,46,58,14,3,1,7,23,6,58
58,23,58,9,9,1,7,23,4,58
58,7,58,8,23,1,3,23,1,58
58,45,58,5,3,1,7,23,8,58
58,43,58,5,6,1,6,23,7,58
58,32,58,3,12,1,5,23,8,58
1,1,1,1,1,1,7,58,9,58
1,23,1,1,1,1,16,58,16,58
17,17,18,16,22,20,17,45,32,45
7,14,8,41,23,10,7,27,9,27
1,1,1,1,1,1,7,58,8,58
1,23,1,7,16,1,23,58,22,58
1,23,1,1,2,1,7,58,14,58
1,1,1,1,1,1,13,58,2,23
53,53,53,53,4,1,3,44,15,53
53,15,27,53,53,27,23,44,22,53
53,15,27,53,53,27,23,44,22,53
1,1,1,1,1,1,1,58,6,23
1,20,1,1,10,1,6,58,19,23
23,23,1,1,1,1,1,58,7,23
5,5,5,5,3,60,60,60,60,60
58,58,58,58,5,1,11,13,23,23
58,58,58,58,1,1,23,2,7,23
58,58,58,58,1,1,23,2,7,23
58,58,58,58,6,1,23,3,16,23
40,40,40,40,41,21,18,18,47,18
44,44,44,44,5,3,53,3,16,53
16,16,16,16,8,60,60,60,6,60
44,44,44,44,53,4,53,53,12,53
27,27,27,27,26,11,7,7,20,7
58,58,58,58,13,1,4,6,12,23
57,57,57,57,52,13,10,16,45,9
44,44,44,44,44,4,53,3,33,53
58,58,58,58,16,5,23,23,29,23
4,4,33,33,12,58,57,33,19,57
4,57,33,33,27,58,57,33,22,57
44,42,31,31,23,45,42,31,19,42
60,60,11,11,10,60,60,11,8,60
4,23,58,58,13,1,11,58,26,23
53,22,44,44,7,3,53,44,44,53
60,60,11,11,11,60,60,11,10,60
16,1,16,16,3,60,60,16,6,60
16,60,16,16,9,60,60,16,7,60
5,60,5,5,60,60,60,5,60,60
33,57,33,33,7,58,57,33,58,57
33,57,33,33,58,58,58,33,57,57
11,60,11,11,60,60,60,11,60,60
16,60,16,16,1,60,60,16,60,60
11,5,11,11,15,8,5,11,11,5
25,50,25,25,56,53,50,25,52,50
35,40,35,35,25,43,40,35,17,40
