"","x"
"1",1
"2",2
"3",2
"4",2
"5",2
"6",2
"7",2
"8",2
"9",2
"10",2
"11",2
"12",2
"13",1
"14",1
"15",1
"16",1
"17",1
"18",1
"19",3
"20",3
"21",3
"22",1
"23",3
"24",3
"25",4
"26",3
"27",3
"28",5
"29",4
"30",3
"31",1
"32",1
"33",4
"34",5
"35",3
"36",4
"37",1
"38",3
"39",5
"40",3
"41",5
"42",1
"43",5
"44",5
"45",5
"46",5
"47",1
"48",1
"49",1
"50",1
"51",1
"52",3
"53",1
"54",1
"55",5
"56",1
"57",1
"58",1
"59",1
"60",5
"61",1
"62",1
"63",1
"64",1
"65",1
"66",1
"67",1
"68",1
"69",1
"70",1
"71",1
"72",1
