"","x"
"1","1"
"2","1"
"3","1"
"4","1"
"5","1"
"6","1"
"7","1"
"8","1"
"9","1"
"10","1"
"11","1"
"12","1"
"13","1"
"14","1"
"15","1"
"16","2"
"17","3"
"18","4"
"19","5"
"20","5"
"21","6"
"22","1"
"23","5"
"24","5"
"25","5"
"26","5"
"27","5"
"28","5"
"29","5"
"30","5"
"31","1"
"32","1"
"33","7"
"34","5"
"35","5"
"36","8"
"37","1"
"38","9"
"39","5"
"40","5"
"41","5"
"42","1"
"43","5"
"44","5"
"45","5"
"46","5"
"47","1"
"48","1"
"49","1"
"50","1"
"51","1"
"52","10"
"53","11"
"54","12"
"55","5"
"56","13"
"57","1"
"58","1"
"59","1"
"60","14"
"61","15"
"62","1"
"63","1"
"64","1"
"65","1"
"66","16"
"67","17"
"68","1"
"69","18"
"70","19"
"71","20"
"72","1"
