"","x"
"1","1"
"2","2"
"3","2"
"4","2"
"5","2"
"6","2"
"7","2"
"8","2"
"9","2"
"10","2"
"11","2"
"12","2"
"13","3"
"14","2"
"15","2"
"16","4"
"17","5"
"18","6"
"19","7"
"20","8"
"21","9"
"22","10"
"23","11"
"24","12"
"25","13"
"26","11"
"27","7"
"28","14"
"29","15"
"30","11"
"31","2"
"32","16"
"33","17"
"34","18"
"35","11"
"36","19"
"37","2"
"38","20"
"39","18"
"40","11"
"41","21"
"42","2"
"43","18"
"44","21"
"45","21"
"46","21"
"47","2"
"48","10"
"49","2"
"50","22"
"51","2"
"52","23"
"53","24"
"54","25"
"55","26"
"56","27"
"57","2"
"58","2"
"59","2"
"60","28"
"61","29"
"62","2"
"63","16"
"64","2"
"65","2"
"66","30"
"67","31"
"68","32"
"69","33"
"70","34"
"71","35"
"72","16"
