"","x"
"1","1"
"2","2"
"3","2"
"4","2"
"5","2"
"6","2"
"7","2"
"8","2"
"9","2"
"10","2"
"11","2"
"12","2"
"13","1"
"14","2"
"15","2"
"16","3"
"17","4"
"18","5"
"19","6"
"20","7"
"21","8"
"22","2"
"23","6"
"24","9"
"25","10"
"26","6"
"27","6"
"28","11"
"29","12"
"30","6"
"31","2"
"32","2"
"33","13"
"34","14"
"35","6"
"36","15"
"37","2"
"38","16"
"39","14"
"40","6"
"41","14"
"42","2"
"43","14"
"44","14"
"45","14"
"46","14"
"47","2"
"48","2"
"49","2"
"50","17"
"51","2"
"52","18"
"53","19"
"54","20"
"55","21"
"56","22"
"57","2"
"58","2"
"59","2"
"60","23"
"61","24"
"62","2"
"63","2"
"64","2"
"65","2"
"66","25"
"67","26"
"68","27"
"69","28"
"70","29"
"71","30"
"72","2"
