"","x"
"1","1"
"2","2"
"3","3"
"4","2"
"5","2"
"6","3"
"7","2"
"8","2"
"9","2"
"10","2"
"11","2"
"12","2"
"13","4"
"14","2"
"15","2"
"16","5"
"17","6"
"18","7"
"19","8"
"20","9"
"21","10"
"22","11"
"23","12"
"24","13"
"25","14"
"26","12"
"27","8"
"28","15"
"29","16"
"30","17"
"31","2"
"32","18"
"33","19"
"34","20"
"35","12"
"36","21"
"37","2"
"38","22"
"39","23"
"40","17"
"41","24"
"42","2"
"43","20"
"44","24"
"45","25"
"46","25"
"47","2"
"48","11"
"49","2"
"50","26"
"51","2"
"52","27"
"53","28"
"54","29"
"55","30"
"56","31"
"57","2"
"58","2"
"59","2"
"60","32"
"61","33"
"62","2"
"63","18"
"64","2"
"65","2"
"66","34"
"67","35"
"68","36"
"69","37"
"70","38"
"71","39"
"72","40"
